embed_dim,hidden_dims,lr,config,metric,mean,sd,ci
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,time,95.2494265474379,1.2067445631026632,1.4983712790327082
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,best_epoch,275.8,43.75728510773949,54.33184557741795
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,loss,0.2529511928558349,0.023129800637774447,0.028719440737555058
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,mae,0.5245333433151245,0.011516312538725185,0.014299390671397677
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,mse,0.6134541273117066,0.026380673351010922,0.03275593234832377
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,num_epochs,288.8,22.807893370497858,28.319740073017545
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,r2,0.8397278428077698,0.007745958224215329,0.009617877458598548
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,rmse,0.7830895781517029,0.016764305207565153,0.020815634231133567
16,2,0.0005,embeddim16_hiddendims2_lr5e-4,time,89.37943637780845,6.452859985093545,8.012283928940345
16,2,0.001,embeddim16_hiddendims2_lr1e-3,best_epoch,212.0,24.052026941611388,29.864535937225906
16,2,0.001,embeddim16_hiddendims2_lr1e-3,loss,0.20118828415870663,0.022101707743477465,0.027442894803897378
16,2,0.001,embeddim16_hiddendims2_lr1e-3,mae,0.5188410401344299,0.009822617107644736,0.012196390030702869
16,2,0.001,embeddim16_hiddendims2_lr1e-3,mse,0.6015922546386718,0.019200356408127905,0.02384039130465341
16,2,0.001,embeddim16_hiddendims2_lr1e-3,num_epochs,244.2,28.925767059837842,35.91608357862906
16,2,0.001,embeddim16_hiddendims2_lr1e-3,r2,0.84284588098526,0.005413061965035073,0.006721204162030186
16,2,0.001,embeddim16_hiddendims2_lr1e-3,rmse,0.7755439162254334,0.012443641834189634,0.015450822072055547
16,2,0.001,embeddim16_hiddendims2_lr1e-3,time,74.02166745737195,9.063337098315333,11.25361937856274
16,2,0.005,embeddim16_hiddendims2_lr5e-3,best_epoch,146.6,22.108821768696764,27.451728032894497
16,2,0.005,embeddim16_hiddendims2_lr5e-3,loss,0.08113774210214608,0.00813217022506658,0.010097422995729797
16,2,0.005,embeddim16_hiddendims2_lr5e-3,mae,0.4984814763069153,0.005886634817226738,0.0073092225231232355
16,2,0.005,embeddim16_hiddendims2_lr5e-3,mse,0.5608701586723328,0.012690969677078208,0.015757920150323682
16,2,0.005,embeddim16_hiddendims2_lr5e-3,num_epochs,183.6,26.024987992312305,32.31429064373952
16,2,0.005,embeddim16_hiddendims2_lr5e-3,r2,0.8534930586814881,0.003271476062663975,0.004062074047995261
16,2,0.005,embeddim16_hiddendims2_lr5e-3,rmse,0.7488744020462036,0.008461954818665912,0.010506904652764347
16,2,0.005,embeddim16_hiddendims2_lr5e-3,time,56.0522223956883,8.933275805980108,11.09212695431023
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,best_epoch,297.8,0.8366600265340772,1.0388506336835697
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,loss,0.5720498621463775,0.030538334569315553,0.03791835059982065
