pooling_class,num_heads,aggregate,config,metric,mean,sd,ci
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,best_epoch_cl,81.46666666666667,23.383951663529817,8.731711052816811
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,f1_cl,0.6282106568415959,0.0577680688003124,0.02157095139870078
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,loss_ae,8.843318557739257,4.790321067184392,1.7887352835282622
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,loss_cl,1.320780336856842,0.3712726354433377,0.13863548048489513
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,mae_ae,0.5548311571280161,0.03133490678712704,0.011700646489056275
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,mse_ae,0.802525383234024,0.05547644082156704,0.020715243448270703
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,nb_ae,9.243345514933269,7.015892557024783,2.6197773356285317
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,num_epochs_ae,239.36666666666667,58.206222758534096,21.734560775545607
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,num_epochs_cl,117.33333333333333,24.768352072106374,9.24865466110972
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,precision_cl,0.618568820754687,0.06505752389544092,0.024292878664844364
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,r2_ae,0.7907188177108765,0.013457577642244936,0.005025142077512859
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,recall_cl,0.6621434827645619,0.05023819902456494,0.01875925181544733
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,rmse_ae,0.8953249275684356,0.030827387649173497,0.011511135728422238
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,time_ae,65.71596407790979,16.191447149253136,6.0459857285255625
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,time_cl,32.193553944056234,6.6441441380365935,2.4809641946482204
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,accuracy_cl,0.6742857118447622,0.02917587430948239,0.01089445051244372
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,auroc_cl,0.8818896989027659,0.021122923653762823,0.007887429318587868
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,best_epoch_ae,197.9,37.6365101537287,14.05370385756084
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,best_epoch_cl,78.43333333333334,27.62143512131329,10.314013380364097
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,f1_cl,0.6179349641005198,0.03875911661281347,0.014472891998547368
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,loss_ae,7.958045546213786,0.13657448189805815,0.050997749665292955
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,loss_cl,1.284739484389623,0.3803422369401985,0.1420221253417734
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,mae_ae,0.5566314260164896,0.01384544627066956,0.005169974603622559
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,mse_ae,0.8188574214776357,0.038039359139031045,0.014204130140859503
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,nb_ae,7.961765718460083,0.1870142524312581,0.06983226951906023
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,num_epochs_ae,219.76666666666668,41.630296770445945,15.545008289145423
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,num_epochs_cl,117.76666666666667,23.58503811717305,8.80679796862612
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,precision_cl,0.6055855810642242,0.04063727001251635,0.015174206003769517
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,r2_ae,0.7864355285962422,0.008936514443813326,0.0033369493345472884
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,recall_cl,0.6520832757155101,0.04156392351027892,0.015520224106482418
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,rmse_ae,0.9046681384245555,0.021163713757082286,0.007902660593486344
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,time_ae,59.73043379597366,11.37500650624808,4.247497235096347
MultiheadSetPooling,2,mean,mh_numheads2_aggregateMean,time_cl,31.524673154080908,6.089765869556138,2.2739559471122885
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,accuracy_cl,0.6996190428733826,0.040647356727593106,0.015177972445078904
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,auroc_cl,0.8929834922154745,0.01851863396676782,0.006914971567568096
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,best_epoch_ae,169.2,102.64649749638741,38.32883208187598
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,best_epoch_cl,83.7,28.494585087527508,10.640052936058611
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,f1_cl,0.6506552398204803,0.04374493901497492,0.016334628680300466
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,loss_ae,8.072065830230713,0.2880630481138174,0.10756450993894319
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,loss_cl,1.240326354900996,0.35277174065471834,0.13172713283530868
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,mae_ae,0.5742277105649313,0.043878448791467246,0.01638448205015991
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,mse_ae,0.8328172961870829,0.05840718566725354,0.021809601558922198
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,nb_ae,8.068187395731607,0.2691039559206613,0.10048506856665612
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,num_epochs_ae,202.26666666666668,70.58618275131684,26.357313809670448
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,num_epochs_cl,124.0,29.07896502450787,10.858263990725389
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,precision_cl,0.6439911444981893,0.05224233137099809,0.01950760713248088
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,r2_ae,0.782806537548701,0.014360532357661342,0.005362310909463996
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,recall_cl,0.677937259276708,0.043252219208057725,0.016150644080695324
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,rmse_ae,0.9120445211728414,0.032035724702750984,0.011962336199500273
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,time_ae,55.57572125506898,18.94589393260099,7.074513060801258
MultiheadSetPooling,4,concat,mh_numheads4_aggregateConcat,time_cl,34.01144744778673,7.848752299096868,2.930772274377017
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,accuracy_cl,0.6777142842610677,0.03824732213641758,0.014281784800302242
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,auroc_cl,0.8900471905867259,0.02030081651105045,0.007580449466426391
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,best_epoch_ae,180.8,39.49107275810834,14.746208915038277
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,best_epoch_cl,68.16666666666667,19.624199229581286,7.3277964212892295
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,f1_cl,0.6278707842032115,0.04807999522071097,0.0179533652707136
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,loss_ae,7.9477092583974205,0.15151443956755656,0.05657642154198993
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,loss_cl,1.1359923511743546,0.3481400716068532,0.12999763918940332
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,mae_ae,0.5572105169296264,0.0114382065054672,0.004271096502647859
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,mse_ae,0.8258340736230214,0.02936174924527769,0.010963857354139201
