label,global,basal,her2,lumA,lumB,norm
path:hsa05416,0.0013474948,0.0007582577,0.0007744736,0.0014475427,0.0008337016,0.0032353096
path:hsa05140,0.0013465759,0.00072794646,0.0007771735,0.0014251621,0.00089388917,0.0032784496
path:hsa05165,0.001345428,0.0007404154,0.000783613,0.0014245774,0.00086007896,0.0033056082
path:hsa05230,0.0013439981,0.000744531,0.00079256267,0.001414937,0.00086132006,0.0033235245
path:hsa04012,0.0013423857,0.00074711087,0.00077624974,0.0014128649,0.0008547608,0.0033367292
path:hsa00030,0.0013421352,0.0007326671,0.000793871,0.001378532,0.0008553204,0.0035189851
path:hsa05222,0.0013390887,0.0007147528,0.00077013543,0.0014293754,0.0008553153,0.0032789235
path:hsa05208,0.0013315374,0.00072075723,0.00077809603,0.0014048284,0.00085147773,0.003315513
path:hsa04810,0.0013310736,0.00073006225,0.0007719254,0.0014055293,0.0008479119,0.0033020214
path:hsa05100,0.0013306352,0.00073693186,0.0007848056,0.0014016355,0.0008531007,0.0032862232
path:hsa04980,0.0013279914,0.00071583554,0.0007408738,0.0014152935,0.00083910965,0.0032843074
path:hsa04933,0.0013272299,0.0007088705,0.00076577,0.0014061377,0.0008410606,0.0033131496
path:hsa04668,0.0013261522,0.00072474265,0.00077159057,0.0014025645,0.0008437683,0.003283115
path:hsa05135,0.0013259649,0.0007256411,0.00077406043,0.0014027079,0.0008486047,0.0032681667
path:hsa00040,0.0013246735,0.00051665533,0.0007796381,0.0014832594,0.00092455075,0.0030675472
path:hsa04625,0.0013239932,0.00071777153,0.0007750617,0.0014012841,0.0008403611,0.0032831496
path:hsa00240,0.001323874,0.0007138628,0.00077211455,0.0014108183,0.00085678673,0.0032122876
path:hsa05226,0.0013237807,0.0007116332,0.0007420025,0.0013995732,0.0008465118,0.0033129097
path:hsa04730,0.0013232615,0.0007034137,0.00073868333,0.0014108362,0.0008358997,0.003286975
path:hsa00910,0.0013221983,0.0004789094,0.00060962164,0.001446481,0.0010270356,0.0032273612
path:hsa04520,0.0013217805,0.00072732137,0.00076356065,0.001388955,0.00084824103,0.0032996072
path:hsa04921,0.0013207211,0.0007102221,0.0007541882,0.0013946436,0.00084526336,0.003302013
path:hsa04664,0.0013201919,0.0007151059,0.0007670744,0.0013978182,0.00084213144,0.0032683988
path:hsa05161,0.001319428,0.0006968655,0.00074021047,0.0014039862,0.0008398272,0.0032848555
path:hsa00220,0.0013192163,0.000706032,0.0007224128,0.0014014272,0.00082786323,0.0033146609
path:hsa04622,0.0013191362,0.00070580613,0.0007431685,0.001406339,0.0008446447,0.0032433092
path:hsa04936,0.0013183568,0.000704529,0.00075768895,0.0013921114,0.0008374412,0.0033121142
path:hsa05169,0.0013170334,0.0007379055,0.0007373797,0.0013876209,0.0008544499,0.0032461868
path:hsa04611,0.001315676,0.0007090218,0.0007537675,0.0013923654,0.0008348803,0.0032827875
path:hsa05034,0.0013152774,0.0007159164,0.0007581211,0.0013854115,0.0008423694,0.0032847552
path:hsa00562,0.0013126788,0.0007061426,0.00074862724,0.0013868228,0.0008408573,0.0032774166
path:hsa04514,0.0013107742,0.0007190961,0.0007608892,0.0013837346,0.0008110683,0.0032968735
path:hsa04714,0.0013104375,0.0006786402,0.0007517043,0.0013606929,0.0008306582,0.0034507809
path:hsa04620,0.0013097033,0.00071003375,0.00074822013,0.0013867416,0.00083009794,0.0032603808
path:hsa00620,0.0013082859,0.0007180493,0.00077700143,0.0013691112,0.00084732065,0.0032680405
path:hsa04140,0.0013081251,0.00069577136,0.00075551134,0.0013768452,0.0008483279,0.0032798685
path:hsa04660,0.0013069576,0.0007119922,0.0007586888,0.0013797426,0.0008308484,0.0032548625
path:hsa05130,0.0013065544,0.00071452896,0.0007640609,0.0013837981,0.0008383558,0.003207971
path:hsa04137,0.0013064494,0.0006921993,0.00075307186,0.0013699394,0.0008481055,0.0033057996
path:hsa05211,0.0013063746,0.0006933407,0.00075583626,0.0013764391,0.0008385575,0.0032858336
path:hsa05132,0.0013033152,0.0006776575,0.0007222519,0.0013488266,0.00082155305,0.003476799
path:hsa00020,0.0013032955,0.0007170169,0.00079266407,0.0013577631,0.00084817084,0.0032624889
path:hsa04071,0.0013031954,0.00069270766,0.0007513454,0.0013755026,0.00083127606,0.0032753986
path:hsa04380,0.0012992712,0.0006951091,0.0007413968,0.0013741588,0.0008172059,0.0032705676
path:hsa04612,0.0012957514,0.0007070083,0.00076138333,0.0013685938,0.00084493664,0.0031756505
path:hsa01523,0.0012950329,0.0006796827,0.00070769247,0.0013884223,0.0008154693,0.003209101
path:hsa04916,0.0012942362,0.00070897356,0.0007333867,0.001353189,0.00082584255,0.0032899892
path:hsa00250,0.0012925491,0.00081756816,0.0011196432,0.0011514529,0.0012410469,0.0030543152
path:hsa04666,0.0012913209,0.00070204,0.000745011,0.0013636685,0.00082010264,0.0032210564
path:hsa00120,0.0012908397,0.00064549095,0.0007002625,0.0013809851,0.0008057455,0.0032861766
path:hsa04150,0.0012887937,0.00071139535,0.0007160332,0.001352255,0.0008273628,0.0032437944
path:hsa05133,0.0012881776,0.0006590972,0.00072106207,0.0013637528,0.00081511383,0.0032895005
path:hsa04960,0.0012879651,0.0007831159,0.00062650506,0.0013450631,0.00080286176,0.0032568017
path:hsa04141,0.0012879146,0.00065861206,0.0007456167,0.0013733915,0.0008467351,0.003162608
path:hsa04659,0.0012813357,0.000671457,0.0007176999,0.0013567513,0.0008001425,0.0032625063
