labels,global,basal,her2,lumA,lumB,norm
RAC1,0.0014585934,0.0014311441,0.0014605407,0.0014604285,0.0014419693,0.001526507
EGF,0.0014580431,0.0015765134,0.0014230604,0.001453651,0.0014130133,0.0013823699
BAD,0.0014373115,0.0014184698,0.001419459,0.0014442671,0.0014149558,0.0014893137
CDKN1A,0.0014279948,0.0014710525,0.0014162369,0.0014125488,0.0013964181,0.0014979143
PLA2G4A,0.0014266429,0.0013570553,0.0014447819,0.0014597832,0.0014507355,0.0013227722
AOX1,0.0013948325,0.0014172472,0.0014378714,0.0013911969,0.0014094075,0.0013159391
CCND1,0.0013796187,0.0014331391,0.0013656267,0.0013586493,0.0014095533,0.0013470625
ALDH3A1,0.0013726472,0.0012022823,0.001429788,0.0014548122,0.0014438604,0.0010812934
ACTG1,0.0013630416,0.0013739254,0.001366258,0.0013536275,0.0013971649,0.0013261896
PLA2G4F,0.0013602093,0.0013871974,0.0013561671,0.0013522163,0.0013456597,0.00138339
SRC,0.0013588693,0.0014061312,0.0013427344,0.0013423511,0.0013620437,0.0013657818
MDM2,0.0013578656,0.0013152992,0.0013921356,0.001358342,0.0013526496,0.001414446
CASP9,0.0013555426,0.0013172362,0.0013270096,0.0013651601,0.0013192226,0.0014616055
CPS1,0.001349231,0.0014565713,0.0014071557,0.0013240887,0.0013936135,0.0011650238
ACTB,0.0013350738,0.0013653511,0.0013656631,0.0013237463,0.0013305147,0.0013257636
JMJD7-PLA2G4B,0.0013298646,0.001352156,0.001354224,0.0013216595,0.001310154,0.0013512442
BAK1,0.0013159702,0.0013909453,0.0013114542,0.0012977172,0.0013045161,0.0013019614
PLA2G4C,0.0013074859,0.0013222852,0.0013025354,0.0013036611,0.0012967723,0.0013244221
CAMK2D,0.001304423,0.0012461419,0.0012389735,0.0013311402,0.0013143303,0.0013001944
DLD,0.0012725194,0.0012800368,0.0012705205,0.0012728757,0.0012870108,0.0012322584
PLCG2,0.0012697971,0.0012301148,0.0012832396,0.0012797674,0.0012881722,0.0012448574
RHOA,0.001236608,0.0012227346,0.0012345297,0.0012375545,0.001241084,0.0012492401
CYP2A7,0.0012326645,0.0011662104,0.0011466194,0.0012652425,0.0012595474,0.00119662
GOT2,0.0012303825,0.0011385457,0.0011325326,0.0012388546,0.0012425461,0.0013961919
PCK2,0.0012291615,0.0012179305,0.0012337356,0.0012496851,0.0012204393,0.001157853
CASP8,0.0012235696,0.0011777589,0.0012674516,0.0012232391,0.0012203865,0.0012791478
CTNNB1,0.0012174929,0.0012223009,0.0012315663,0.00121197,0.0012075179,0.001245255
CAMK2G,0.0012052068,0.0011941071,0.0012027826,0.0011986342,0.0011868048,0.0012935625
GOT1,0.0012033957,0.0011608753,0.0011558137,0.0011988034,0.0011748393,0.0013880727
PLCG1,0.0011908531,0.0011835335,0.0011829981,0.001188535,0.0011884011,0.0012255636
CYP2A6,0.0011863136,0.0011464788,0.0011116362,0.0011860082,0.001209976,0.001267722
TF,0.001184667,0.000957065,0.0012658642,0.0013419787,0.0013195273,0.0004781835
MAOA,0.0011739054,0.0011720145,0.0011962592,0.0012021683,0.0011850771,0.0009975075
CYCS,0.0011692649,0.0012342436,0.0012287251,0.0011268228,0.0011849412,0.0011983055
E2F1,0.0011535175,0.0012003379,0.0012308458,0.0011281939,0.0012267128,0.0010083612
GLUL,0.0011498559,0.001173586,0.0011350154,0.0011508109,0.001123388,0.0011633851
MET,0.0011422341,0.0009565074,0.0010701978,0.0012128042,0.0012405366,0.0009798845
ATF2,0.0011341149,0.0011405048,0.0011331853,0.0011297419,0.0011188246,0.001174028
STAT1,0.0011298399,0.0011602271,0.0011822347,0.0011051211,0.00117006,0.001089361
PAH,0.0011290294,0.0011437365,0.0013657435,0.0011170452,0.0010860374,0.0010716921
PPP3CA,0.0011267209,0.0011184727,0.0011297964,0.0011282912,0.0011159178,0.0011509144
ALDH7A1,0.0011115044,0.0010755924,0.0010985895,0.0011105762,0.0011044665,0.0012011896
PPP3CC,0.0011098277,0.0011216033,0.0011103249,0.0010992294,0.0011056105,0.0011502912
ALDH3A2,0.0011091497,0.0011605192,0.0011741823,0.0010899547,0.0010586316,0.0011628317
GNB1,0.0011085293,0.0010760452,0.0010827759,0.0011141833,0.0010936859,0.0011827286
ALDH1B1,0.0011071388,0.0011341851,0.0010655618,0.0011007016,0.0010939935,0.0011470019
PPP3CB,0.0011043741,0.0011171112,0.0011005258,0.0010951285,0.0010930991,0.0011525345
ATP2A3,0.0010909615,0.0010539901,0.0011248955,0.0011058402,0.0011006554,0.0010376897
MYC,0.0010856916,0.0010165522,0.0011718674,0.0011062662,0.0010934086,0.0010254555
TNFRSF1A,0.0010856497,0.0010699807,0.0010709676,0.0010888103,0.0010590011,0.0011569362
IGF1R,0.0010850317,0.001216797,0.0013554875,0.0010188043,0.0010096914,0.0011330578
ATF6B,0.0010845186,0.0010822235,0.0010814212,0.0010803293,0.0010712257,0.001136523
PPP3R1,0.0010758501,0.0010825581,0.0010783502,0.0010667343,0.001069375,0.0011203805
RPS6KB1,0.0010742809,0.0010604247,0.0010624297,0.0010758388,0.001063172,0.0011197119
RPS6KB2,0.0010739057,0.0010592468,0.0010604113,0.0010747609,0.0010655072,0.0011204684
ICAM1,0.0010676513,0.0014795105,0.0010044129,0.00096575834,0.0009859214,0.0010615599
STAT3,0.0010523616,0.0010452644,0.0010427167,0.0010524231,0.0010282879,0.0011159492
TCF7L1,0.0010479628,0.00090381765,0.0010990889,0.0010709853,0.0011591634,0.000940151
E2F2,0.0010435553,0.0011068763,0.001133192,0.0009928758,0.0011212099,0.0009805813
ENPP1,0.001042401,0.0009501127,0.0010250707,0.0010698993,0.0010666283,0.001032106
ATP2A2,0.0010348972,0.001053664,0.0010274316,0.0010268003,0.0010379246,0.0010429067
UGT2B15,0.0010333046,0.0008865548,0.001047391,0.0010626757,0.0010811064,0.001042094
UGT2B4,0.0010279742,0.00093545375,0.0010187414,0.0010390491,0.0010645929,0.001072276
TCF7,0.0010239162,0.0009710299,0.0010292577,0.0010345081,0.001069621,0.00097418856
ALDH3B2,0.0010230003,0.0010721298,0.00096917094,0.0010004056,0.0009738118,0.0011815614
GADD45G,0.0010220668,0.00096476165,0.00095379783,0.0010637146,0.0009593442,0.0010770697
GUSB,0.0010198627,0.0010533291,0.001003366,0.0010154007,0.0010330194,0.0009717015
UGT2B17,0.001014768,0.0010096916,0.0010428159,0.0010119987,0.0010132063,0.0010201472
TCF7L2,0.0010103908,0.00095270236,0.0010000936,0.0010236584,0.0010697505,0.00094160694
MAOB,0.0009962417,0.0009851265,0.0010683117,0.0009941082,0.0010599381,0.00085629243
XDH,0.0009945452,0.0010414326,0.0010179314,0.0010085709,0.00094563444,0.00091542455
ITGB2,0.000993748,0.0010839574,0.00106275,0.0009630002,0.00095927186,0.001005545
TLR2,0.0009921162,0.0010029055,0.0009837162,0.000969143,0.0009833564,0.001111689
ATP2A1,0.0009864714,0.0009787317,0.00095941406,0.0009843035,0.0009619896,0.0010758316
CXCL8,0.00096744124,0.0009115904,0.0008707928,0.0010063646,0.00092282903,0.0010207741
TRAF6,0.0009671559,0.000957815,0.000953131,0.00096926105,0.0009547142,0.001005994
NAT1,0.00096694427,0.0010800182,0.0011362415,0.00091656926,0.0009450056,0.0009420914
ENPP3,0.000960771,0.001011687,0.0010002448,0.00093941024,0.00093009626,0.001008031
GADD45B,0.0009516446,0.00095709594,0.00091646804,0.0009453095,0.00092996965,0.0010397674
PDPK1,0.00095134164,0.00092317606,0.00092159864,0.00095773966,0.0009378605,0.0010146309
RAC2,0.0009511975,0.0009890281,0.0009942519,0.0009560167,0.00090119994,0.0009221244
GADD45A,0.0009471152,0.0009176832,0.0009318299,0.00094790984,0.0009581979,0.0009850047
ACP1,0.00094377977,0.0010354818,0.000987877,0.0009105574,0.000979943,0.00085289916
MYD88,0.00094264257,0.00096086157,0.001038464,0.0009257353,0.00093909266,0.00093334756
UGT2B11,0.0009381087,0.0008774739,0.00097226864,0.0009444817,0.0009409175,0.0009816309
UGT2B28,0.00092362764,0.0008780432,0.0010025724,0.00092480204,0.0009228839,0.0009412525
RAC3,0.0009219209,0.0009671948,0.00096233113,0.0009088172,0.0009525639,0.0008232058
ITGAL,0.0009181551,0.0008338821,0.00095968513,0.00095243746,0.0009678569,0.0007697742
PCK1,0.00091660884,0.00089463877,0.0008949267,0.0009078588,0.00088444364,0.0010743533
EP300,0.0009070236,0.00086484064,0.0008865681,0.000933499,0.00087835547,0.0009146488
CACNA1C,0.000902871,0.0009299138,0.0009164555,0.0008916001,0.0009230964,0.0008654152
TRAF2,0.00089456205,0.00091631414,0.00088670925,0.00090304477,0.00089904165,0.0008111874
GNAO1,0.0008937861,0.0008736842,0.00090287894,0.00088864175,0.00095078425,0.00084280677
LEF1,0.00089356274,0.0008888442,0.0008423089,0.0008877599,0.00085856806,0.0010330282
IRS1,0.0008915323,0.0010920656,0.0011311237,0.0008186492,0.000829733,0.000850655
FADD,0.0008904624,0.0008405271,0.00085670926,0.0009042984,0.0009235947,0.00087081664
MAP2K6,0.00088550313,0.000880433,0.00093891425,0.00090177666,0.0008686053,0.0008046051
E2F3,0.0008830097,0.0010095296,0.0008853082,0.00084337365,0.0008714041,0.0008825222
GNG11,0.0008789501,0.0009791374,0.00096873124,0.000846157,0.00095504697,0.0006640963
BID,0.00087560486,0.00094219437,0.00087710895,0.0008587972,0.0008465367,0.0008971167
GNG7,0.0008719955,0.0008819369,0.0009781038,0.000812399,0.0010151964,0.00081395416
GNA11,0.0008712057,0.00087695924,0.00087992236,0.0008680862,0.0008807333,0.00085299055
CREBBP,0.00086925545,0.00087190815,0.00090028555,0.0008685472,0.0008432229,0.00089384534
ALDH3B1,0.00086472905,0.00083792105,0.000842983,0.00086555054,0.00084940245,0.00095144333
ITPR1,0.0008643575,0.0010808272,0.00092835055,0.0008072436,0.00082391285,0.000803941
BCL2L1,0.00086401467,0.00080179103,0.00084910356,0.0008807205,0.00087994896,0.00086942775
AKR1A1,0.00086378277,0.00089345116,0.00073110586,0.0008630446,0.0008895351,0.000864444
GNG2,0.00086268707,0.0008477315,0.0008705323,0.00086765573,0.0009073653,0.00077532616
CDC42,0.0008592752,0.0008328242,0.00085804856,0.0008664452,0.00085880706,0.00087091554
SHC4,0.0008524278,0.0007759094,0.00090028497,0.0008658444,0.0008968922,0.000801065
CHRM3,0.0008501344,0.0007030964,0.001001545,0.00087800005,0.0009323675,0.00070369866
JAK2,0.00084844494,0.00086393993,0.0008434977,0.0008397609,0.00083363533,0.0008962976
ALDH9A1,0.00084569847,0.0008431732,0.000821945,0.00083641114,0.0008313639,0.0009407786
GPLD1,0.0008411646,0.0006934884,0.00081189536,0.0009714739,0.0008614975,0.0004237847
ACACB,0.0008407756,0.00084114104,0.0008396177,0.0008536839,0.00082571007,0.0008036165
PNPO,0.00083965913,0.00080554147,0.0007931539,0.00085768563,0.000839625,0.00084186
ACAT2,0.00083256,0.00089869363,0.00085258466,0.00079202006,0.0008750816,0.0008289391
JAK1,0.0008309826,0.0008317111,0.0008156556,0.00083073956,0.0008122042,0.00087679544
ADH1B,0.0008292024,0.00082115707,0.00083538285,0.00084188685,0.0008364699,0.00076120615
HGF,0.00082582264,0.00090312236,0.0008416249,0.0007957452,0.00082498445,0.0008331307
NFKBIB,0.0008255927,0.00088249973,0.0008402447,0.0008151627,0.00081614853,0.000785923
PHOSPHO2,0.0008241403,0.0007569659,0.00077647564,0.00084888056,0.0008335422,0.00083342975
SMAD3,0.0008198453,0.00086895406,0.00086278474,0.0008070684,0.0007900473,0.00082274736
MAP2K7,0.00081699324,0.00081707333,0.0008056269,0.00081699574,0.00080528826,0.0008467383
LAMA1,0.00081464776,0.0008132649,0.0008079658,0.00081462116,0.00081552163,0.0008204258
LAMA2,0.00081320596,0.0008229271,0.0008271391,0.000807682,0.00082091935,0.0007997959
CFTR,0.00081104,0.0007191344,0.00074180565,0.0008686014,0.0008325898,0.00069078605
NOS3,0.00080738496,0.0008257004,0.00079412677,0.00079780736,0.00080623355,0.00083560124
APAF1,0.0008070483,0.00080139143,0.00079476216,0.0008102775,0.0007890084,0.0008428749
PLPP3,0.00080680876,0.0008249699,0.0008170252,0.000814033,0.0008537346,0.00064443814
ADH1C,0.0008048704,0.000815129,0.0007966231,0.0008165827,0.0008187425,0.0007081331
CTSG,0.0008025412,0.0009383359,0.0009903718,0.00072482426,0.00090435275,0.0006339059
