labels,global,basal,her2,lumA,lumB,norm
SRC,0.0013827453,0.0013777132,0.0013817995,0.0013877877,0.0013780722,0.001375368
MDM2,0.0013484015,0.0012702221,0.0013128854,0.0013733229,0.0013073528,0.001460469
CAMK2D,0.0013464063,0.0012933946,0.0012932837,0.0013760156,0.0013492076,0.0013225753
ENPP3,0.0013391409,0.0012021506,0.0011677407,0.0013970048,0.0014959818,0.0011198567
PLA2G4C,0.0013264298,0.0013496875,0.0012983569,0.0013279559,0.001318128,0.0013138963
CASP8,0.0013053797,0.0013159995,0.0012481959,0.001312876,0.0012931224,0.0013131527
CDKN1A,0.0012981188,0.0012000452,0.0012464658,0.001318168,0.0012831938,0.0014328728
GNB1,0.001297103,0.001276355,0.0012650862,0.001312473,0.0012841994,0.0013027121
JMJD7-PLA2G4B,0.0012944927,0.0012814535,0.0012444138,0.0013059642,0.0012738009,0.0013338699
CTNNB1,0.0012913082,0.0012581735,0.0011809076,0.0013124942,0.0012926235,0.0013196998
TNFRSF1A,0.0012809493,0.0012667213,0.0012727141,0.0012901501,0.0012878487,0.0012524769
RHOA,0.0012789221,0.0012490642,0.0012869147,0.001283978,0.0013008078,0.0012591509
CAMK2G,0.0012736415,0.0012640056,0.0012852444,0.0012723865,0.001262188,0.0013095445
ACTB,0.0012659443,0.0012715488,0.0012766563,0.0012644419,0.0012629849,0.0012614666
ACTG1,0.0012605919,0.0012667907,0.0012814727,0.0012595567,0.0012498132,0.0012597991
ALDH7A1,0.0012570383,0.001235487,0.0012175752,0.0012666358,0.001266967,0.0012563887
PLA2G4A,0.0012537992,0.0013391266,0.0012250873,0.0012276556,0.00122405,0.0013130031
TLR2,0.0012384199,0.0012268826,0.0012490344,0.0012493758,0.0012419263,0.0011889873
GLUL,0.0012339666,0.0011424818,0.0012387054,0.0012707299,0.0012925933,0.001095809
CYP2A7,0.0012239793,0.0011799826,0.001145681,0.001260717,0.0012412774,0.0011398655
IGF1,0.0012238063,0.0011887904,0.0011866783,0.0012327577,0.0011952491,0.0013193765
PLCG1,0.0012200774,0.0012017884,0.0012123164,0.0012222356,0.0012195797,0.001247607
STAT1,0.0012172015,0.0012651192,0.001266049,0.001189068,0.0012821255,0.001120297
PCK1,0.0012162769,0.0012047074,0.0011908986,0.0012192159,0.0012614831,0.001156404
ALDH3A2,0.0012067882,0.0011626432,0.0011625645,0.0012171067,0.0012278889,0.0012246808
PLCG2,0.0012029769,0.0012551132,0.001174207,0.0011857437,0.0011614615,0.0012968289
CYP2A6,0.0012013529,0.0011706015,0.0011120243,0.0012269279,0.001210022,0.0011745213
ALDH1B1,0.0011993179,0.0012735367,0.0011680096,0.0011864965,0.0011542172,0.0012408487
RPS6KB2,0.0011938582,0.0012023763,0.0012385612,0.0011893546,0.001212311,0.0011351949
DLD,0.0011919845,0.0011376344,0.0011411234,0.0012166327,0.0011790053,0.001223102
CYCS,0.0011892207,0.0011164534,0.0011083456,0.0012297792,0.0011438137,0.0012538052
STAT3,0.0011845599,0.0011783947,0.0011325985,0.0011987042,0.0011672477,0.0011935594
ICAM1,0.0011687131,0.0009959289,0.001173995,0.001224827,0.0011900971,0.001143007
ALDH2,0.0011686893,0.0011212594,0.0011406832,0.0011807552,0.0011650607,0.0012174395
ATF6B,0.0011596271,0.0012014675,0.0011221258,0.0011423491,0.0012106261,0.0011068782
GUSB,0.001158837,0.0011818571,0.001122684,0.0011828567,0.001179923,0.0009845662
RPS6KB1,0.0011523856,0.0011065335,0.0011978255,0.0011470218,0.0011977142,0.0011426129
GADD45G,0.0011475763,0.00086622295,0.0010222644,0.0013470976,0.0009974845,0.0009984152
PPP3CA,0.0011459008,0.0011148734,0.0011614307,0.0011546643,0.0011337578,0.0011668971
IGF1R,0.0011413615,0.0010459619,0.0010497547,0.0011723428,0.001188637,0.0011301634
PPP3CC,0.0011284578,0.0011130566,0.0011132946,0.0011335467,0.001117858,0.0011602027
PPP3CB,0.0011226984,0.0011036076,0.0011112827,0.0011250423,0.0011182914,0.0011605707
ATP2A3,0.0011058912,0.0010488024,0.0011608518,0.0011340511,0.0011023702,0.0010297481
PPP3R1,0.0011036813,0.0011107094,0.0011176085,0.0010993147,0.0010934995,0.0011222179
PDPK1,0.0010861775,0.0010574331,0.0010854589,0.001098528,0.0010835371,0.0010792869
HLCS,0.0010834618,0.0006450847,0.00084721815,0.0012247516,0.0009293211,0.0015902921
AKR1A1,0.0010745871,0.0011402399,0.0009626808,0.0010789653,0.0010928283,0.0009854775
ATF2,0.0010695094,0.0010815157,0.0010554295,0.0010570018,0.0010530023,0.0011525291
EGF,0.0010693548,0.0010004202,0.000993636,0.0010851327,0.0010074329,0.0012792795
PCK2,0.0010645424,0.0011143774,0.0010367843,0.0010527406,0.0009932286,0.0011893392
XDH,0.001051716,0.0009973643,0.0010258914,0.0011046618,0.001023624,0.0009496431
ALDH3B1,0.0010482792,0.0010132361,0.0010695873,0.0010566588,0.0010425311,0.001062194
CDKN2A,0.0010346347,0.0022576977,0.0010056184,0.00077518995,0.0008268139,0.0006188268
TRAF6,0.0010182915,0.0010020592,0.0009906526,0.0010187292,0.0010305742,0.0010417174
ATP2A2,0.0010135042,0.0010218496,0.0010357416,0.0010025674,0.0010304074,0.0010068173
PAH,0.0010122603,0.0010762492,0.0011718763,0.0009697906,0.000995179,0.0010310714
MET,0.0009976324,0.0010460485,0.0010183373,0.0009879315,0.00097187015,0.0009948687
CPS1,0.0009963601,0.0010263082,0.0009766395,0.0009685616,0.00095731695,0.0011711431
ALDH3B2,0.0009909432,0.0009920609,0.0009753177,0.0009912446,0.0009953794,0.0009906072
ENPP1,0.0009884178,0.0012266259,0.0010644529,0.0009261098,0.0008928983,0.0010094723
ALDH9A1,0.0009854353,0.00095928065,0.0009593556,0.000995856,0.0009820851,0.0010034972
UGT2B15,0.0009742294,0.0008993788,0.0009990291,0.0009868209,0.001018346,0.000941504
ALDH3A1,0.00097211363,0.0009714826,0.0009812961,0.00096993876,0.00097602897,0.00097029755
CACNA1D,0.0009681854,0.00082591496,0.0008438459,0.0010751405,0.0009260243,0.00084396894
E2F3,0.0009603545,0.0012950985,0.0008900599,0.00090737344,0.0008405959,0.0009170006
RAC2,0.0009552907,0.00096264784,0.00095930765,0.0009656364,0.0009412328,0.00091327314
ATP2A1,0.00095136295,0.00094796135,0.0009591422,0.0009471771,0.00094672217,0.0009813847
UGT2B4,0.000943215,0.0009239821,0.00093723997,0.0009295225,0.0009830965,0.0009765075
IRS1,0.0009339487,0.0009903519,0.0009905535,0.00091763685,0.00092267094,0.00089782564
