label,global,basal,her2,lumA,lumB,norm
path:hsa05226,0.0026902757,0.0027083056,0.0029918605,0.002545534,0.0028681376,0.0028424151
path:hsa04730,0.002645464,0.0028385094,0.0026344312,0.0025875112,0.0024984302,0.0028817025
path:hsa04964,0.0026418762,0.0028217502,0.0028215542,0.0025874332,0.002304253,0.0030974678
path:hsa05415,0.0026406355,0.0028020444,0.0025503656,0.0025855997,0.0025612018,0.002849772
path:hsa04658,0.0026370299,0.0025983234,0.00240163,0.0025969087,0.002730054,0.0029059905
path:hsa03440,0.0026278025,0.0030381556,0.0026267527,0.0022630317,0.0028433588,0.0033576826
path:hsa04919,0.0026236728,0.0029461212,0.0026099496,0.0025264102,0.002448442,0.0028870625
path:hsa05222,0.0026041486,0.0037248798,0.0026486416,0.0021862907,0.0025212439,0.0028828436
path:hsa04720,0.0025813896,0.0028758582,0.00241827,0.0025383376,0.0023108537,0.0029043052
path:hsa04714,0.0025674144,0.0028127572,0.0026286896,0.0024835642,0.0023744055,0.0028758994
path:hsa00670,0.002558566,0.0028423313,0.0031627805,0.002440377,0.002135976,0.0030042247
path:hsa00470,0.002553844,0.003232689,0.0024613675,0.0024018784,0.0022210607,0.0028208627
path:hsa00600,0.0025455346,0.002843463,0.002348172,0.0025185877,0.002210275,0.0029256167
path:hsa05231,0.0025437851,0.0026825706,0.0023926676,0.0025078931,0.0023945998,0.002868782
path:hsa01522,0.0025226695,0.0029114506,0.0028625068,0.0023457315,0.0023484563,0.0028145513
path:hsa04520,0.002502903,0.0023607204,0.0024774394,0.0024932905,0.002471607,0.002875714
path:hsa00500,0.0024940395,0.0024092195,0.0025076128,0.0025160513,0.002286028,0.0029055688
path:hsa00640,0.0024929377,0.0028835058,0.0025843205,0.0024654,0.0019837867,0.0028265847
path:hsa01524,0.0024831058,0.0026788043,0.0025324177,0.002378291,0.002327191,0.0029241724
path:hsa00513,0.0024677576,0.0032911422,0.0023204149,0.0022359616,0.002144217,0.0029089088
path:hsa04925,0.0024545107,0.002622896,0.0024459504,0.0024320574,0.0021695872,0.0028076074
path:hsa05223,0.0024511418,0.0024750645,0.00252561,0.0024023706,0.0023131343,0.0028570897
path:hsa04623,0.0024445523,0.002751899,0.0023331484,0.002308825,0.0023219325,0.0029021907
path:hsa05017,0.0024375827,0.0025837617,0.002222032,0.0024080845,0.0022253292,0.0028807933
path:hsa04927,0.0024345806,0.0027492864,0.0026181147,0.0023610773,0.0020248068,0.002882077
path:hsa00270,0.0024211684,0.0031752835,0.0024241048,0.0021523312,0.0022030573,0.0028662158
path:hsa04930,0.0024054695,0.002922869,0.002634433,0.0022318824,0.0020470808,0.0028773262
path:hsa05224,0.002402496,0.0025409833,0.002691076,0.0022841215,0.002259367,0.002814534
path:hsa05414,0.0024000588,0.0030137703,0.0028963534,0.002177439,0.0019939202,0.002846079
path:hsa05211,0.0023866778,0.0022856211,0.002267241,0.002459308,0.0020955577,0.0028209575
path:hsa04911,0.0023863034,0.0026139505,0.002409761,0.0023129818,0.0021017261,0.002869245
path:hsa04144,0.0023526868,0.0025801891,0.0024673825,0.0023111843,0.0019019411,0.0029162108
path:hsa05169,0.0023397116,0.0027133375,0.0022923627,0.002190289,0.0021308362,0.002864085
path:hsa00532,0.0023082474,0.0021947785,0.0021131434,0.0023094465,0.0021411045,0.0029507112
path:hsa00230,0.0023044297,0.002539363,0.0023752535,0.0022078753,0.00203367,0.0028321412
path:hsa04932,0.0023035675,0.0023661633,0.0024159588,0.002247832,0.0020729823,0.0028209938
path:hsa04962,0.0023018646,0.002568434,0.002523843,0.0021925662,0.0019936159,0.0027984786
path:hsa00562,0.0023000846,0.0023580813,0.0023509718,0.0022750925,0.001979125,0.0028819742
path:hsa00785,0.002298053,0.0022461542,0.0021578548,0.002352663,0.0018964142,0.0029571508
path:hsa04150,0.0022927355,0.0022386713,0.0023385661,0.002290708,0.002046362,0.0028196631
path:hsa04935,0.0022919395,0.0023208812,0.0023157569,0.0022868735,0.0020005645,0.0027887074
path:hsa05145,0.0022892978,0.0023404013,0.0021826182,0.002211779,0.0021916882,0.0028498888
path:hsa00512,0.002281747,0.0023140982,0.0020007936,0.0022858735,0.0020525367,0.0028323324
path:hsa05203,0.0022814192,0.0029187303,0.0021387385,0.0020933454,0.0018770044,0.0029722508
path:hsa00780,0.002258944,0.0028836506,0.0025459032,0.002016903,0.0019051671,0.0028390053
path:hsa00062,0.0022213694,0.0023082895,0.0025112957,0.002161873,0.0018433828,0.0028592064
path:hsa05219,0.0022096483,0.002501472,0.002202916,0.0021119884,0.0018275646,0.0029059406
path:hsa04915,0.0021834911,0.0022161852,0.0020760656,0.0021856548,0.0018536252,0.0028036255
path:hsa04115,0.0021773905,0.0023724034,0.0022298964,0.0020681024,0.0018746391,0.002911481
path:hsa04744,0.0021730666,0.0020169776,0.0021083218,0.002176389,0.0019454552,0.0028963638
path:hsa05220,0.0021717083,0.0022618435,0.0023803401,0.0021125334,0.0018415913,0.0027727443
path:hsa04510,0.0021657678,0.0021082098,0.002114116,0.0021769637,0.0018802664,0.0027750444
path:hsa05133,0.0021648556,0.0022932691,0.0020685487,0.0020869721,0.0019304685,0.0028379448
path:hsa00100,0.0021587617,0.0021373085,0.002426621,0.00200143,0.0019868102,0.0031148298
path:hsa04215,0.0021578853,0.0022796078,0.0024270536,0.0020186529,0.0018515378,0.0030205196
path:hsa04723,0.002156718,0.0022687868,0.00203963,0.002096834,0.0018977574,0.0028278597
path:hsa00920,0.0021566262,0.0026392797,0.0021437563,0.0019945158,0.001793873,0.0028145933
path:hsa00480,0.0021561442,0.0021355648,0.0021922642,0.0021265026,0.0019070318,0.0027763245
path:hsa05202,0.002155419,0.002314558,0.0020869065,0.0020469648,0.001954307,0.0028476927
path:hsa05160,0.002148598,0.0021476976,0.0020485823,0.0021051643,0.0019288736,0.0028486259
path:hsa04530,0.002146192,0.002126979,0.0021421926,0.0021021166,0.0018785861,0.002900262
path:hsa00330,0.0021431043,0.0021602046,0.0020773972,0.0020502363,0.001984196,0.0029241582
path:hsa04012,0.0021408144,0.001997983,0.0021518231,0.002178119,0.0018342561,0.0027603249
path:hsa05225,0.0021405742,0.0020184203,0.002233662,0.0021524376,0.0018431558,0.0027761185
path:hsa04910,0.002136246,0.002171836,0.0020249954,0.002132689,0.0018119462,0.0027727128
path:hsa00130,0.0021341378,0.0025674754,0.0017223393,0.002063658,0.0016516607,0.002926022
path:hsa05152,0.0021315026,0.002208132,0.0019903767,0.002045422,0.001962728,0.0028474547
path:hsa05016,0.0021269703,0.0023189704,0.0019643435,0.002061636,0.0017903623,0.0028629622
path:hsa05010,0.002124997,0.0021574204,0.002080873,0.002091499,0.0018022815,0.0028666577
path:hsa05213,0.0021214816,0.0020197532,0.0020980046,0.0021484708,0.001810132,0.0027553525
path:hsa05212,0.0021210853,0.0021764461,0.0021248546,0.0020792887,0.0018051461,0.0028174038
path:hsa00740,0.002115893,0.0028075688,0.0017586978,0.001904149,0.0017918407,0.0028385238
path:hsa00260,0.0021097152,0.002062668,0.0019448325,0.0020797455,0.0018157375,0.003006571
path:hsa04912,0.002105162,0.0020758077,0.001897385,0.0021157605,0.0018255695,0.0027706656
path:hsa00534,0.0021010605,0.0018426907,0.0024355985,0.0020854343,0.0018422096,0.0028664668
path:hsa04330,0.0021000567,0.0019692085,0.0019753468,0.0021219854,0.0018639499,0.0027445375
path:hsa04140,0.0021000246,0.002102864,0.0020475911,0.0021022446,0.0017579581,0.0027545865
path:hsa04914,0.0020983457,0.0023153522,0.0020122572,0.0019685538,0.0019297056,0.0027502333
path:hsa05230,0.0020979014,0.0019634054,0.0020637263,0.0021357567,0.0017484869,0.0028121525
path:hsa05210,0.0020954402,0.0020484044,0.0021541857,0.002075483,0.0018047381,0.0027733147
path:hsa04210,0.002089195,0.002326458,0.0018182357,0.0019864247,0.0018476973,0.0028381601
path:hsa00730,0.0020839926,0.0022993805,0.002001646,0.001986825,0.0017861022,0.0028102193
path:hsa00760,0.0020774,0.002182455,0.0021402985,0.0020020164,0.0017895564,0.0027619442
path:hsa04148,0.0020738258,0.0020320276,0.0019397592,0.0020741725,0.0017846796,0.002777038
path:hsa05216,0.0020731054,0.0020378437,0.0020278934,0.0020516242,0.0017710145,0.002834674
path:hsa04625,0.0020498706,0.0019484082,0.0019371831,0.0020308546,0.0018379348,0.0027966178
path:hsa05221,0.0020475395,0.001918044,0.002001918,0.0020500047,0.0017840702,0.002781246
path:hsa04657,0.0020449392,0.0021939932,0.0018963473,0.001968865,0.0017793137,0.002768618
path:hsa01523,0.0020438945,0.0019791287,0.0020406146,0.0020135732,0.001775072,0.0028096032
path:hsa05100,0.0020424614,0.0019215356,0.001851814,0.002075045,0.0017319529,0.0028012674
path:hsa04621,0.0020365203,0.0019476138,0.002005624,0.0020129408,0.0017882489,0.002792279
path:hsa05132,0.0020361813,0.0019234519,0.0019964657,0.0020196268,0.0017755302,0.0028272583
path:hsa04622,0.002032094,0.0020061745,0.0019893793,0.0019818682,0.0017738674,0.0028396687
path:hsa04659,0.0020297947,0.0019090021,0.001889537,0.0020545328,0.0017303565,0.0027709957
path:hsa00450,0.0020276664,0.0021141795,0.0020360684,0.0019617553,0.0017138264,0.0027842757
path:hsa04370,0.0020270555,0.0019061132,0.0019004961,0.002031717,0.0017732339,0.0027756598
path:hsa00900,0.002022369,0.0019447826,0.0020170587,0.0019536803,0.0017062522,0.003093263
path:hsa05168,0.0019980618,0.0019878175,0.0018715982,0.0019347807,0.0017590934,0.0028694435
path:hsa05417,0.001991209,0.0018645339,0.0017853804,0.0019991912,0.0017160745,0.0028299578
path:hsa05110,0.0019864044,0.0018082474,0.0017221712,0.0020209223,0.0017148296,0.002816605
path:hsa00030,0.0019851252,0.001772665,0.0018743064,0.002015499,0.0017058335,0.0027990148
path:hsa05170,0.0019788153,0.0018263509,0.001823767,0.0019760542,0.0017332942,0.0028251915
path:hsa05135,0.001973634,0.0018154746,0.0018568583,0.0019774227,0.0017125047,0.0027979182
path:hsa05418,0.0019649144,0.0017929225,0.0018492506,0.0019807504,0.0017014315,0.0027559963
path:hsa04145,0.0019647942,0.0018446058,0.0018370122,0.0019076236,0.0017633595,0.0029285066
path:hsa04934,0.0019624638,0.0018080646,0.0018730919,0.0019677875,0.001697529,0.0027595954
path:hsa00603,0.001960384,0.0017620259,0.0018557216,0.0019608664,0.0017226377,0.0028194364
path:hsa04650,0.0019579125,0.0017079317,0.0017681841,0.0019958892,0.0016920639,0.0028311922
path:hsa04217,0.001957729,0.0018360927,0.0018091031,0.0019451614,0.0017168041,0.0027867355
path:hsa04980,0.0019531741,0.0018117606,0.0018674281,0.001956048,0.0016866811,0.0027402842
path:hsa05012,0.0019479675,0.0018409558,0.001750935,0.001945578,0.0016783377,0.0027882715
path:hsa04137,0.0019439616,0.0017793041,0.0018098592,0.0019704318,0.0016510893,0.0027362872
path:hsa00515,0.0019417879,0.0018522238,0.0018954359,0.001911865,0.0016462684,0.0028293456
path:hsa00531,0.0019242745,0.0018578564,0.0017607018,0.001900637,0.0016612448,0.0027647112
path:hsa04613,0.0019219441,0.0016702164,0.0016910394,0.0019736858,0.0016336251,0.0028001869
path:hsa00510,0.0019189315,0.0017703116,0.0017807176,0.0018880715,0.0017259547,0.0027911908
path:hsa05235,0.0019150017,0.0016832139,0.0017063356,0.0019600226,0.0016463546,0.0027399007
path:hsa04662,0.0019142524,0.0017135356,0.0017433339,0.0019259397,0.0016601243,0.0027991752
path:hsa00970,0.0019126374,0.0018147686,0.0017673644,0.001883877,0.0016857792,0.0027536007
