loss_weights,config,metric,mean,sd,ci
"[1.0, 0.01]",lossweights10.01,r2,0.7293927717208862,0.023952637212111466,0.009887162697854932
"[1.0, 0.01]",lossweights10.01,rmse,1.017910132408142,0.04505476244299855,0.01859769188011938
"[1.0, 0.01]",lossweights10.01,time,64.61847185105086,22.40492279962053,9.24829758790473
"[1.0, 0.001]",lossweights11e-3,best_epoch,149.24,33.71977659079807,13.918839680833267
"[1.0, 0.001]",lossweights11e-3,kld,18.081862144470215,1.8561202968695347,0.7661688021835217
"[1.0, 0.001]",lossweights11e-3,loss,7.930973196029663,0.0515130473118399,0.02126354085039651
"[1.0, 0.001]",lossweights11e-3,mae,0.5858397817611695,0.01862833813739138,0.007689400057456492
"[1.0, 0.001]",lossweights11e-3,mse,0.90469899892807,0.052705933656479305,0.021755940132573905
"[1.0, 0.001]",lossweights11e-3,nb,7.919471473693847,0.06303840704656596,0.026020975526145868
"[1.0, 0.001]",lossweights11e-3,num_epochs,175.12,39.088915734941196,16.135111392188804
"[1.0, 0.001]",lossweights11e-3,r2,0.7642247414588929,0.011828621533161691,0.00488261499366693
"[1.0, 0.001]",lossweights11e-3,rmse,0.9507856011390686,0.02711335884689146,0.01119184446500073
"[1.0, 0.001]",lossweights11e-3,time,49.52195940956474,10.579870546060432,4.367155920444956
"[1.0, 0.0001]",lossweights11e-4,best_epoch,137.96,36.37705320665763,15.01570955789733
"[1.0, 0.0001]",lossweights11e-4,kld,83.8060610961914,9.629483390489659,3.9748553837705023
"[1.0, 0.0001]",lossweights11e-4,loss,7.912694463729858,0.047221190363503675,0.019491949373919886
"[1.0, 0.0001]",lossweights11e-4,mae,0.5833843135833741,0.021467476931400147,0.008861338952099895
"[1.0, 0.0001]",lossweights11e-4,mse,0.8925699996948242,0.05691040952636302,0.023491462472624448
"[1.0, 0.0001]",lossweights11e-4,nb,7.9088852500915525,0.05217994576597594,0.021538823002445157
"[1.0, 0.0001]",lossweights11e-4,num_epochs,172.08,36.13391758445242,14.915348105707361
"[1.0, 0.0001]",lossweights11e-4,r2,0.7674042296409607,0.01293025310431485,0.0053373461566963275
"[1.0, 0.0001]",lossweights11e-4,rmse,0.9443000411987305,0.030059623959964914,0.012408002930810156
"[1.0, 0.0001]",lossweights11e-4,time,49.02669242754578,9.962937461943095,4.112498459458855
"[1.0, 1e-05]",lossweights11e-5,best_epoch,137.76,38.30391624886417,15.811079530150185
"[1.0, 1e-05]",lossweights11e-5,kld,246.88880798339844,29.2608147355974,12.078270688972692
"[1.0, 1e-05]",lossweights11e-5,loss,7.901042032241821,0.04390708736921668,0.01812395489332035
"[1.0, 1e-05]",lossweights11e-5,mae,0.5810618162155151,0.01996933615313873,0.008242936832625888
"[1.0, 1e-05]",lossweights11e-5,mse,0.8863098359107972,0.05543518438809251,0.022882519464433645
"[1.0, 1e-05]",lossweights11e-5,nb,7.902926864624024,0.04629159114524984,0.01910822967603059
"[1.0, 1e-05]",lossweights11e-5,num_epochs,172.92,43.421308133219576,17.923435080031787
"[1.0, 1e-05]",lossweights11e-5,r2,0.7689657425880432,0.013838624724598146,0.005712303532801612
"[1.0, 1e-05]",lossweights11e-5,rmse,0.940996994972229,0.02948331350578307,0.012170113667322737
"[1.0, 1e-05]",lossweights11e-5,time,49.13697359904647,12.436317239548446,5.133459452530757
"[1.0, 1e-06]",lossweights11e-6,best_epoch,125.72,39.004828760894036,16.100401995231287
"[1.0, 1e-06]",lossweights11e-6,kld,324.1878643798828,48.20434163968396,19.897774274873886
"[1.0, 1e-06]",lossweights11e-6,loss,7.907451906204224,0.054128560267749884,0.022343171535920917
"[1.0, 1e-06]",lossweights11e-6,mae,0.5889418911933899,0.020985399112269373,0.00866234700860054
"[1.0, 1e-06]",lossweights11e-6,mse,0.9087408852577209,0.05838647584536563,0.024100752703155856
"[1.0, 1e-06]",lossweights11e-6,nb,7.913707504272461,0.061538714654430185,0.02540193293194304
"[1.0, 1e-06]",lossweights11e-6,num_epochs,153.68,37.28350841860246,15.38987587951996
"[1.0, 1e-06]",lossweights11e-6,r2,0.7631190061569214,0.014614869691270292,0.006032721706838735
"[1.0, 1e-06]",lossweights11e-6,rmse,0.9528091573715209,0.03054354252906959,0.0126077546985542
"[1.0, 1e-06]",lossweights11e-6,time,44.021760199815034,10.495795380170936,4.3324513976553645
"[1.0, 1e-07]",lossweights11e-7,best_epoch,136.6,41.24621194728069,17.025599502119416
"[1.0, 1e-07]",lossweights11e-7,kld,348.8604748535156,55.45650313295235,22.89131940980403
"[1.0, 1e-07]",lossweights11e-7,loss,7.905120506286621,0.05199425189090059,0.021462172338110968
"[1.0, 1e-07]",lossweights11e-7,mae,0.5858570051193237,0.018125829931173135,0.007481974864652472
"[1.0, 1e-07]",lossweights11e-7,mse,0.9007481336593628,0.051829800014512116,0.0213942899398839
"[1.0, 1e-07]",lossweights11e-7,nb,7.911762809753418,0.05674275190891375,0.023422256809524464
"[1.0, 1e-07]",lossweights11e-7,num_epochs,168.2,50.03665323207245,20.654115326870876
"[1.0, 1e-07]",lossweights11e-7,r2,0.7651795029640198,0.01324831010667055,0.005468633634631863
"[1.0, 1e-07]",lossweights11e-7,rmse,0.9486971163749695,0.02742253047943499,0.011319464242541299
"[1.0, 1e-07]",lossweights11e-7,time,47.86057503327727,13.833221374029566,5.710073139308322
"[1.0, 1e-08]",lossweights11e-8,best_epoch,146.96,33.787916972393155,13.946966647945844
"[1.0, 1e-08]",lossweights11e-8,kld,371.24610290527346,44.7628999533508,18.477216965603944
"[1.0, 1e-08]",lossweights11e-8,loss,7.894955701828003,0.05165559914984085,0.021322383357078038
"[1.0, 1e-08]",lossweights11e-8,mae,0.5797811889648438,0.030374594838890767,0.01253801651960411
"[1.0, 1e-08]",lossweights11e-8,mse,0.8861448454856873,0.08001691711234296,0.033029360026814635
"[1.0, 1e-08]",lossweights11e-8,nb,7.902978992462158,0.058935565779244,0.024327405888103126
"[1.0, 1e-08]",lossweights11e-8,num_epochs,174.36,35.6404264845414,14.711644991450841
"[1.0, 1e-08]",lossweights11e-8,r2,0.7690651369094849,0.019787571118783265,0.008167907914033788
