embed_dim,num_heads,aggregate,config,metric,mean,sd,ci
64,4,concat,embeddim64_numheads4_aggregateConcat,time,63.327728727459906,11.650182591842919,14.4656122967916
64,4,mean,embeddim64_numheads4_aggregateMean,best_epoch,182.4,62.52439523897852,77.6342905777026
64,4,mean,embeddim64_numheads4_aggregateMean,kld,70.44978981018066,27.00956902648679,33.53680946718819
64,4,mean,embeddim64_numheads4_aggregateMean,loss,7.965468788146973,0.05430096014657533,0.06742354728190002
64,4,mean,embeddim64_numheads4_aggregateMean,mae,0.5949795722961426,0.05791547279338485,0.0719115575064957
64,4,mean,embeddim64_numheads4_aggregateMean,mse,0.9264950275421142,0.14995017042491882,0.1861877281411409
64,4,mean,embeddim64_numheads4_aggregateMean,nb,7.971350288391113,0.07879906482685228,0.09784196188762721
64,4,mean,embeddim64_numheads4_aggregateMean,num_epochs,195.8,67.75470463370053,84.12857745259586
64,4,mean,embeddim64_numheads4_aggregateMean,r2,0.757769775390625,0.038712151115129885,0.04806748433268057
64,4,mean,embeddim64_numheads4_aggregateMean,rmse,0.9602258443832398,0.0746773996218365,0.09272423858990991
64,4,mean,embeddim64_numheads4_aggregateMean,time,52.01578612178564,18.38328745836219,22.82586620567915
64,8,concat,embeddim64_numheads8_aggregateConcat,best_epoch,187.0,78.38686114394427,97.33014341463331
64,8,concat,embeddim64_numheads8_aggregateConcat,kld,67.08360595703125,21.190908125609425,26.311987708812882
64,8,concat,embeddim64_numheads8_aggregateConcat,loss,7.967639923095703,0.12734546929761079,0.15812028456120655
64,8,concat,embeddim64_numheads8_aggregateConcat,mae,0.5834445118904114,0.060450784087985564,0.0750595622652408
64,8,concat,embeddim64_numheads8_aggregateConcat,mse,0.8940549850463867,0.15430574764603763,0.19159589156800055
64,8,concat,embeddim64_numheads8_aggregateConcat,nb,7.975857925415039,0.15427062007029224,0.19155227492185334
64,8,concat,embeddim64_numheads8_aggregateConcat,num_epochs,210.2,79.99812497802684,99.3307917090214
64,8,concat,embeddim64_numheads8_aggregateConcat,r2,0.766086483001709,0.0413386867630114,0.05132875908665384
64,8,concat,embeddim64_numheads8_aggregateConcat,rmse,0.9429357886314392,0.07847825494626183,0.09744362380862998
64,8,concat,embeddim64_numheads8_aggregateConcat,time,56.061822560429576,21.525405265257557,26.727320764616103
